name,zipcode,inspection_date,score,address,city,state,lat,lon,facility_id,description
360 Uno Espresso & Vino,78746,05/28/2013,91,3801 N CAPITAL OF TEXAS HWY NB,AUSTIN,78746,30.336444311000037,-97.80531538299994,2802323,Routine Inspection
360 Uno Espresso & Vino,78746,03/20/2015,92,3801 N CAPITAL OF TEXAS HWY NB,AUSTIN,78746,30.336444311000037,-97.80531538299994,2802323,Routine Inspection
360 Uno Espresso & Vino,78746,12/27/2013,88,3801 N CAPITAL OF TEXAS HWY NB,AUSTIN,78746,30.336444311000037,-97.80531538299994,2802323,Routine Inspection
360 Uno Espresso & Vino,78746,06/25/2014,90,3801 N CAPITAL OF TEXAS HWY NB,AUSTIN,78746,30.336444311000037,-97.80531538299994,2802323,Routine Inspection
360 Uno Espresso & Vino,78746,11/13/2014,92,3801 N CAPITAL OF TEXAS HWY NB,AUSTIN,78746,30.336444311000037,-97.80531538299994,2802323,Routine Inspection
360 Uno Espresso & Vino,78746,10/25/2012,73,3801 N CAPITAL OF TEXAS HWY NB,AUSTIN,78746,30.336444311000037,-97.80531538299994,2802323,Routine Inspection
3M Austin Center,78726,08/19/2014,93,6801 RIVER PLACE BLVD,AUSTIN,78726,30.39604378300004,-97.84472918299997,2800072,Routine Inspection
3M Austin Center,78726,02/12/2015,100,6801 RIVER PLACE BLVD,AUSTIN,78726,30.39604378300004,-97.84472918299997,2800072,Routine Inspection
3M Austin Center,78726,08/27/2013,93,6801 RIVER PLACE BLVD,AUSTIN,78726,30.39604378300004,-97.84472918299997,2800072,Routine Inspection
3M Austin Center,78726,11/05/2012,81,6801 RIVER PLACE BLVD,AUSTIN,78726,30.39604378300004,-97.84472918299997,2800072,Routine Inspection
3M Austin Center,78726,03/20/2014,93,6801 RIVER PLACE BLVD,AUSTIN,78726,30.39604378300004,-97.84472918299997,2800072,Routine Inspection
"4111 South First , LLC",78745,01/08/2013,100,4111 S 1ST ST,AUSTIN,78745,30.22462457900008,-97.77062478699997,10548679,Routine Inspection
"4111 South First , LLC",78745,07/11/2012,97,4111 S 1ST ST,AUSTIN,78745,30.22462457900008,-97.77062478699997,10548679,Routine Inspection
"4111 South First , LLC",78745,07/17/2013,100,4111 S 1ST ST,AUSTIN,78745,30.22462457900008,-97.77062478699997,10548679,Routine Inspection
"4111 South First , LLC",78745,04/09/2015,96,4111 S 1ST ST,AUSTIN,78745,30.22462457900008,-97.77062478699997,10548679,Routine Inspection
"4111 South First , LLC",78745,02/27/2014,100,4111 S 1ST ST,AUSTIN,78745,30.22462457900008,-97.77062478699997,10548679,Routine Inspection
"4111 South First , LLC",78745,10/14/2014,82,4111 S 1ST ST,AUSTIN,78745,30.22462457900008,-97.77062478699997,10548679,Routine Inspection
411 First Floor,78701,07/30/2014,100,404 E 6TH ST,AUSTIN,78701,30.26702739700005,-97.73900271699995,10586003,Routine Inspection
411 First Floor,78701,01/30/2015,86,404 E 6TH ST,AUSTIN,78701,30.26702739700005,-97.73900271699995,10586003,Routine Inspection
411 First Floor,78701,11/19/2012,93,404 E 6TH ST,AUSTIN,78701,30.26702739700005,-97.73900271699995,10586003,Routine Inspection
411 First Floor,78701,05/31/2013,86,404 E 6TH ST,AUSTIN,78701,30.26702739700005,-97.73900271699995,10586003,Routine Inspection
413 Bar,78701,07/10/2014,87,413 E 6TH ST,AUSTIN,78701,30.26690410300006,-97.73877802199996,10839037,Routine Inspection
413 Bar,78701,08/08/2013,93,413 E 6TH ST,AUSTIN,78701,30.26690410300006,-97.73877802199996,10839037,Routine Inspection
413 Bar,78701,02/12/2015,85,413 E 6TH ST,AUSTIN,78701,30.26690410300006,-97.73877802199996,10839037,Routine Inspection
512 Market Kitchen,78734,04/22/2015,100,4506 WELETKA DR,AUSTIN,78734,30.406209213000068,-97.92600422799995,11253014,Routine Inspection
"512 on 6th, The",78701,05/30/2012,79,408 E 6TH ST,AUSTIN,78701,30.26698706800005,-97.73886329099997,10493313,Routine Inspection
"512 on 6th, The",78701,10/23/2014,84,408 E 6TH ST,AUSTIN,78701,30.26698706800005,-97.73886329099997,10493313,Routine Inspection
"512 on 6th, The",78701,04/23/2015,81,408 E 6TH ST,AUSTIN,78701,30.26698706800005,-97.73886329099997,10493313,Routine Inspection
"512 on 6th, The",78701,12/13/2012,91,408 E 6TH ST,AUSTIN,78701,30.26698706800005,-97.73886329099997,10493313,Routine Inspection
"512 on 6th, The",78701,07/18/2013,78,408 E 6TH ST,AUSTIN,78701,30.26698706800005,-97.73886329099997,10493313,Routine Inspection
6M Grocery,78652,02/01/2013,100,805 W FM 1626 RD,AUSTIN,78652,30.140563316000055,-97.82814093399998,2803436,Routine Inspection
6M Grocery,78652,07/25/2014,100,805 W FM 1626 RD,AUSTIN,78652,30.140563316000055,-97.82814093399998,2803436,Routine Inspection
6M Grocery,78652,11/01/2012,94,805 W FM 1626 RD,AUSTIN,78652,30.140563316000055,-97.82814093399998,2803436,Routine Inspection
6M Grocery,78652,07/31/2013,93,805 W FM 1626 RD,AUSTIN,78652,30.140563316000055,-97.82814093399998,2803436,Routine Inspection
6M Grocery,78652,01/17/2014,90,805 W FM 1626 RD,AUSTIN,78652,30.140563316000055,-97.82814093399998,2803436,Routine Inspection
6M Grocery,78652,12/15/2014,93,805 W FM 1626 RD,AUSTIN,78652,30.140563316000055,-97.82814093399998,2803436,Routine Inspection
6 St Cool Store,78702,07/31/2014,92,1900 E 6TH ST,AUSTIN,78702,30.26160591200005,-97.72229002099999,10199624,Routine Inspection
6 St Cool Store,78702,01/07/2015,100,1900 E 6TH ST,AUSTIN,78702,30.26160591200005,-97.72229002099999,10199624,Routine Inspection
6 St Cool Store,78702,11/04/2013,100,1900 E 6TH ST,AUSTIN,78702,30.26160591200005,-97.72229002099999,10199624,Routine Inspection
6 St Cool Store,78702,04/12/2013,100,1900 E 6TH ST,AUSTIN,78702,30.26160591200005,-97.72229002099999,10199624,Routine Inspection
6 St Cool Store,78702,10/17/2012,100,1900 E 6TH ST,AUSTIN,78702,30.26160591200005,-97.72229002099999,10199624,Routine Inspection
7 Days Food Store,78745,06/14/2013,91,1025 W STASSNEY LN,AUSTIN,78745,30.210554066000043,-97.78690998599996,2804068,Routine Inspection
7 Days Food Store,78745,07/30/2014,88,1025 W STASSNEY LN,AUSTIN,78745,30.210554066000043,-97.78690998599996,2804068,Routine Inspection
7 Days Food Store,78745,11/28/2012,91,1025 W STASSNEY LN,AUSTIN,78745,30.210554066000043,-97.78690998599996,2804068,Routine Inspection
7 Days Food Store,78745,01/23/2015,94,1025 W STASSNEY LN,AUSTIN,78745,30.210554066000043,-97.78690998599996,2804068,Routine Inspection
7 Days Food Store,78745,05/31/2012,91,1025 W STASSNEY LN,AUSTIN,78745,30.210554066000043,-97.78690998599996,2804068,Routine Inspection
7 Days Food Store,78745,12/13/2013,88,1025 W STASSNEY LN,AUSTIN,78745,30.210554066000043,-97.78690998599996,2804068,Routine Inspection
7-Eleven,78701,01/02/2013,94,411 W MARTIN LUTHER KING JR BLVD,AUSTIN,78701,30.281723600000078,-97.74203782699999,10401573,Routine Inspection
7-Eleven,78745,11/21/2012,97,8010 BRODIE LN,AUSTIN,78745,30.202846453000063,-97.83752626899997,10138206,Routine Inspection
7-Eleven,78745,12/19/2013,100,8010 BRODIE LN,AUSTIN,78745,30.202846453000063,-97.83752626899997,10138206,Routine Inspection
7-Eleven,78745,06/21/2013,100,8010 BRODIE LN,AUSTIN,78745,30.202846453000063,-97.83752626899997,10138206,Routine Inspection
7-Eleven,78726,01/22/2014,100,11518 N FM 620 RD,AUSTIN,78726,30.454742171000078,-97.82656000299994,10063456,Routine Inspection
7-Eleven,78726,06/26/2014,93,11518 N FM 620 RD,AUSTIN,78726,30.454742171000078,-97.82656000299994,10063456,Routine Inspection
7-Eleven,78703,02/14/2013,97,2620 LAKE AUSTIN BLVD,AUSTIN,78703,30.281907965000073,-97.77587573499994,10074325,Routine Inspection
7-Eleven,78704,04/13/2015,82,1403 S LAMAR BLVD,AUSTIN,78704,30.252961493000043,-97.76345874599997,10479184,Routine Inspection
7-Eleven,78741,03/25/2015,84,1705 S LAKESHORE BLVD,AUSTIN,78741,30.244863257000077,-97.72962083799996,10132234,Routine Inspection
7-Eleven,78741,10/31/2013,91,1705 S LAKESHORE BLVD,AUSTIN,78741,30.244863257000077,-97.72962083799996,10132234,Routine Inspection
7-Eleven,78704,04/11/2013,92,1403 S LAMAR BLVD,AUSTIN,78704,30.252961493000043,-97.76345874599997,10479184,Routine Inspection
7-Eleven,78741,05/02/2013,97,1705 S LAKESHORE BLVD,AUSTIN,78741,30.244863257000077,-97.72962083799996,10132234,Routine Inspection
7-Eleven,78703,07/24/2012,97,2620 LAKE AUSTIN BLVD,AUSTIN,78703,30.281907965000073,-97.77587573499994,10074325,Routine Inspection
7-Eleven,78703,09/10/2014,100,2620 LAKE AUSTIN BLVD,AUSTIN,78703,30.281907965000073,-97.77587573499994,10074325,Routine Inspection
7-Eleven,78704,10/18/2012,96,1403 S LAMAR BLVD,AUSTIN,78704,30.252961493000043,-97.76345874599997,10479184,Routine Inspection
7-Eleven,78701,08/26/2014,94,411 W MARTIN LUTHER KING JR BLVD,AUSTIN,78701,30.281723600000078,-97.74203782699999,10401573,Routine Inspection
7-Eleven,78745,06/18/2014,90,8010 BRODIE LN,AUSTIN,78745,30.202846453000063,-97.83752626899997,10138206,Routine Inspection
7-Eleven,78726,03/30/2015,87,11518 N FM 620 RD,AUSTIN,78726,30.454742171000078,-97.82656000299994,10063456,Routine Inspection
7-Eleven,78741,05/22/2014,86,1705 S LAKESHORE BLVD,AUSTIN,78741,30.244863257000077,-97.72962083799996,10132234,Routine Inspection
7-Eleven,78741,11/06/2012,97,1705 S LAKESHORE BLVD,AUSTIN,78741,30.244863257000077,-97.72962083799996,10132234,Routine Inspection
7-Eleven,78701,02/25/2014,100,411 W MARTIN LUTHER KING JR BLVD,AUSTIN,78701,30.281723600000078,-97.74203782699999,10401573,Routine Inspection
7-Eleven,78703,03/19/2014,94,2620 LAKE AUSTIN BLVD,AUSTIN,78703,30.281907965000073,-97.77587573499994,10074325,Routine Inspection
7-Eleven,78704,11/04/2014,94,1403 S LAMAR BLVD,AUSTIN,78704,30.252961493000043,-97.76345874599997,10479184,Routine Inspection
7-Eleven,78726,11/06/2014,100,11518 N FM 620 RD,AUSTIN,78726,30.454742171000078,-97.82656000299994,10063456,Routine Inspection
